SalePrice,GrLivArea,LotArea,OverallQual,KitchenQual,CentralAir,HeatingQC,PavedDrive,Neighborhood,YearBuilt
208500,1710,8450,7,Gd,Y,Ex,Y,CollgCr,2003
181500,1262,9600,6,TA,Y,Ex,Y,Veenker,1976
223500,1786,11250,7,Gd,Y,Ex,Y,CollgCr,2001
140000,1717,9550,7,Gd,Y,Gd,Y,Crawfor,1915
250000,2198,14260,8,Gd,Y,Ex,Y,NoRidge,2000
143000,1362,14115,5,TA,Y,Ex,Y,Mitchel,1993
307000,1694,10084,8,Gd,Y,Ex,Y,Somerst,2004
200000,2090,10382,7,TA,Y,Ex,Y,NWAmes,1973
129900,1774,6120,7,TA,Y,Gd,Y,OldTown,1931
118000,1077,7420,5,TA,Y,Ex,Y,BrkSide,1939
129500,1040,11200,5,TA,Y,Ex,Y,Sawyer,1965
345000,2324,11924,9,Ex,Y,Ex,Y,NridgHt,2005
144000,912,12968,5,TA,Y,TA,Y,Sawyer,1962
279500,1494,10652,7,Gd,Y,Ex,Y,CollgCr,2006
157000,1253,10920,6,TA,Y,TA,Y,NAmes,1960
132000,854,6120,7,TA,Y,Ex,Y,BrkSide,1929
149000,1004,11241,6,TA,Y,Ex,Y,NAmes,1970
90000,1296,10791,4,TA,Y,TA,Y,Sawyer,1967
159000,1114,13695,5,Gd,Y,Ex,Y,SawyerW,2004
139000,1339,7560,5,TA,Y,TA,Y,NAmes,1958
325300,2376,14215,8,Gd,Y,Ex,Y,NridgHt,2005
139400,1108,7449,7,Gd,Y,Ex,N,IDOTRR,1930
230000,1795,9742,8,Gd,Y,Ex,Y,CollgCr,2002
129900,1060,4224,5,TA,Y,TA,Y,MeadowV,1976
154000,1060,8246,5,Gd,Y,Ex,Y,Sawyer,1968
256300,1600,14230,8,Gd,Y,Ex,Y,NridgHt,2007
134800,900,7200,5,Gd,Y,TA,Y,NAmes,1951
306000,1704,11478,8,Gd,Y,Ex,Y,NridgHt,2007
207500,1600,16321,5,TA,Y,TA,Y,NAmes,1957
68500,520,6324,4,Fa,N,Fa,Y,BrkSide,1927
40000,1317,8500,4,TA,N,TA,N,IDOTRR,1920
149350,1228,8544,5,Gd,Y,Gd,Y,Sawyer,1966
179900,1234,11049,8,Gd,Y,Ex,Y,CollgCr,2007
165500,1700,10552,5,Gd,Y,Gd,Y,NAmes,1959
277500,1561,7313,9,Ex,Y,Ex,Y,NridgHt,2005
309000,2452,13418,8,Gd,Y,Ex,Y,NridgHt,2004
145000,1097,10859,5,TA,Y,Ex,Y,CollgCr,1994
153000,1297,8532,5,TA,Y,Gd,Y,NAmes,1954
109000,1057,7922,5,Gd,Y,TA,Y,NAmes,1953
82000,1152,6040,4,Fa,N,TA,N,Edwards,1955
160000,1324,8658,6,TA,Y,Ex,Y,NAmes,1965
170000,1328,16905,5,TA,Y,Gd,P,Timber,1959
144000,884,9180,5,Gd,Y,Gd,Y,SawyerW,1983
130250,938,9200,5,TA,Y,TA,Y,CollgCr,1975
141000,1150,7945,5,TA,Y,Ex,Y,NAmes,1959
319900,1752,7658,9,Ex,Y,Ex,Y,NridgHt,2005
239686,2149,12822,7,Gd,Y,Ex,Y,Mitchel,2003
249700,1656,11096,8,Gd,Y,Ex,Y,Somerst,2006
113000,1452,4456,4,TA,Y,Gd,N,OldTown,1920
127000,955,7742,5,TA,Y,Ex,Y,Sawyer,1966
177000,1470,13869,6,TA,Y,Gd,Y,Gilbert,1997
114500,1176,6240,6,TA,Y,TA,Y,BrkSide,1934
110000,816,8472,5,TA,N,TA,Y,IDOTRR,1963
385000,1842,50271,9,Gd,Y,Gd,Y,Veenker,1981
130000,1360,7134,5,TA,Y,TA,Y,NAmes,1955
180500,1425,10175,6,TA,Y,Gd,Y,NAmes,1964
172500,1739,2645,8,Gd,Y,Ex,Y,Somerst,1999
196500,1720,11645,7,Gd,Y,Ex,Y,CollgCr,2004
438780,2945,13682,10,Gd,Y,Ex,Y,StoneBr,2006
124900,780,7200,5,TA,Y,Ex,Y,CollgCr,1972
158000,1158,13072,6,Gd,Y,Ex,Y,SawyerW,2004
101000,1111,7200,5,Fa,N,TA,N,IDOTRR,1920
